Cycle_Type,Ambient_Temperature,Cycle_Time,Voltage_Measured,Current_Measured,Temperature_Measured,Current_Charge,Voltage_Charge,Time_Point,Capacity,Actual_SoH
charge,[24],[[2.0080e+03 4.0000e+00 2.0000e+00 1.3000e+01 8.0000e+00 1.7921e+01]],3.873017221300996,-0.0012006606982979,24.65535783391511,0.0,0.003,0.0,0.0,0.0
charge,[24],[[2.0080e+03 4.0000e+00 2.0000e+00 1.3000e+01 8.0000e+00 1.7921e+01]],3.479393559379272,-4.030268477538787,24.66647981177477,-4.036,1.57,2.532,-10.219152,-510.95759999999996
charge,[24],[[2.0080e+03 4.0000e+00 2.0000e+00 1.3000e+01 8.0000e+00 1.7921e+01]],4.000587822429767,1.5127306474745377,24.675394470060205,1.5,4.726,5.5,-5.767151999999999,-288.3576
charge,[24],[[2.0080e+03 4.0000e+00 2.0000e+00 1.3000e+01 8.0000e+00 1.7921e+01]],4.01239519378372,1.5090632819299827,24.693865093855624,1.5,4.742,8.343999999999998,-1.501152000000003,-75.05760000000015
charge,[24],[[2.0080e+03 4.0000e+00 2.0000e+00 1.3000e+01 8.0000e+00 1.7921e+01]],4.019708059348954,1.5113181929087844,24.705069460327003,1.5,4.753,11.125000000000004,2.670348000000006,133.5174000000003
charge,[24],[[2.0080e+03 4.0000e+00 2.0000e+00 1.3000e+01 8.0000e+00 1.7921e+01]],4.025409466688173,1.5127791303050795,24.718139716943565,1.498,4.758,13.891000000000002,6.813816000000004,340.6908000000002
charge,[24],[[2.0080e+03 4.0000e+00 2.0000e+00 1.3000e+01 8.0000e+00 1.7921e+01]],4.030636266078126,1.5118383429157671,24.731144146729346,1.5,4.764,16.672,10.985316,549.2658
charge,[24],[[2.0080e+03 4.0000e+00 2.0000e+00 1.3000e+01 8.0000e+00 1.7921e+01]],4.035348958689254,1.5102454035974533,24.74128965448197,1.5,4.769,19.500000000000004,15.227316000000004,761.3658000000001
charge,[24],[[2.0080e+03 4.0000e+00 2.0000e+00 1.3000e+01 8.0000e+00 1.7921e+01]],4.039716366731289,1.507795762302671,24.759011413717104,1.5,4.775,22.282,19.400316,970.0158
charge,[24],[[2.0080e+03 4.0000e+00 2.0000e+00 1.3000e+01 8.0000e+00 1.7921e+01]],4.043541209582787,1.5073220259362292,24.76689109464945,1.5,4.775,25.063,23.571816,1178.5908
charge,[24],[[2.0080e+03 4.0000e+00 2.0000e+00 1.3000e+01 8.0000e+00 1.7921e+01]],4.046724068525119,1.510225938880598,24.77833907611839,1.5,4.78,27.828,27.719316,1385.9658
charge,[24],[[2.0080e+03 4.0000e+00 2.0000e+00 1.3000e+01 8.0000e+00 1.7921e+01]],4.050320832174241,1.5118533604283586,24.795653409093354,1.498,4.785,30.641,31.93319,1596.6595
charge,[24],[[2.0080e+03 4.0000e+00 2.0000e+00 1.3000e+01 8.0000e+00 1.7921e+01]],4.05347775737346,1.5101392891691985,24.79560886309641,1.5,4.785,33.453,36.15119,1807.5595
charge,[24],[[2.0080e+03 4.0000e+00 2.0000e+00 1.3000e+01 8.0000e+00 1.7921e+01]],4.056879474053084,1.5128177135836196,24.80759178608512,1.498,4.791,36.219,40.294658,2014.7329
charge,[24],[[2.0080e+03 4.0000e+00 2.0000e+00 1.3000e+01 8.0000e+00 1.7921e+01]],4.06020401031697,1.5095776610977216,24.82664625288648,1.498,4.791,39.735,45.561626,2278.0813
charge,[24],[[2.0080e+03 4.0000e+00 2.0000e+00 1.3000e+01 8.0000e+00 1.7921e+01]],4.063091479523415,1.512772145564553,24.83742133279075,1.498,4.796,42.578,49.820440000000005,2491.0220000000004
charge,[24],[[2.0080e+03 4.0000e+00 2.0000e+00 1.3000e+01 8.0000e+00 1.7921e+01]],4.066063636258206,1.509769494328851,24.84675930278492,1.498,4.796,45.438,54.10472,2705.236
charge,[24],[[2.0080e+03 4.0000e+00 2.0000e+00 1.3000e+01 8.0000e+00 1.7921e+01]],4.068105681238579,1.5113677696899488,24.8491666584376,1.5,4.802,48.297,58.39321999999999,2919.6609999999996
charge,[24],[[2.0080e+03 4.0000e+00 2.0000e+00 1.3000e+01 8.0000e+00 1.7921e+01]],4.070910890874503,1.5133979843086345,24.852949981513827,1.5,4.802,51.188,62.72972,3136.486
charge,[24],[[2.0080e+03 4.0000e+00 2.0000e+00 1.3000e+01 8.0000e+00 1.7921e+01]],4.073140624023925,1.5111973524598337,24.86507398527065,1.5,4.807,54.047,67.01821999999999,3350.910999999999
charge,[24],[[2.0080e+03 4.0000e+00 2.0000e+00 1.3000e+01 8.0000e+00 1.7921e+01]],4.075311977341731,1.511244172982425,24.8750624728474,1.5,4.807,56.922,71.33071999999999,3566.535999999999
charge,[24],[[2.0080e+03 4.0000e+00 2.0000e+00 1.3000e+01 8.0000e+00 1.7921e+01]],4.077986508414314,1.5081126310457775,24.886489825324,1.5,4.812,59.797,75.64321999999999,3782.160999999999
charge,[24],[[2.0080e+03 4.0000e+00 2.0000e+00 1.3000e+01 8.0000e+00 1.7921e+01]],4.07976022217648,1.508852665665067,24.90653922810855,1.498,4.812,62.688,79.97393799999999,3998.6968999999995
charge,[24],[[2.0080e+03 4.0000e+00 2.0000e+00 1.3000e+01 8.0000e+00 1.7921e+01]],4.081802115441344,1.510345306542324,24.90930297711513,1.498,4.812,65.657,84.42149999999998,4221.074999999999
charge,[24],[[2.0080e+03 4.0000e+00 2.0000e+00 1.3000e+01 8.0000e+00 1.7921e+01]],4.083793221991377,1.5138807180762497,24.91400306955916,1.5,4.818,68.547,88.75649999999999,4437.825
charge,[24],[[2.0080e+03 4.0000e+00 2.0000e+00 1.3000e+01 8.0000e+00 1.7921e+01]],4.085358875710466,1.5075492173309024,24.92638503176589,1.498,4.818,71.453,93.109688,4655.4844
charge,[24],[[2.0080e+03 4.0000e+00 2.0000e+00 1.3000e+01 8.0000e+00 1.7921e+01]],4.087077933894968,1.511287164355708,24.937872894809484,1.5,4.818,74.344,97.44618799999998,4872.309399999999
charge,[24],[[2.0080e+03 4.0000e+00 2.0000e+00 1.3000e+01 8.0000e+00 1.7921e+01]],4.088869895523977,1.5120633075989558,24.9514677083522,1.5,4.823,77.235,101.78268799999998,5089.134399999999
charge,[24],[[2.0080e+03 4.0000e+00 2.0000e+00 1.3000e+01 8.0000e+00 1.7921e+01]],4.089918408383021,1.512585708087281,24.950789441796097,1.5,4.823,80.188,106.21218799999998,5310.609399999999
charge,[24],[[2.0080e+03 4.0000e+00 2.0000e+00 1.3000e+01 8.0000e+00 1.7921e+01]],4.0920411736461935,1.5093948216372517,24.98153814942468,1.5,4.829,83.172,110.68818799999995,5534.409399999998
charge,[24],[[2.0080e+03 4.0000e+00 2.0000e+00 1.3000e+01 8.0000e+00 1.7921e+01]],4.093273405772316,1.5101552428455114,24.99214714992865,1.5,4.829,86.094,115.07118799999996,5753.559399999998
charge,[24],[[2.0080e+03 4.0000e+00 2.0000e+00 1.3000e+01 8.0000e+00 1.7921e+01]],4.09462341419862,1.5061831609704768,24.997492212956605,1.5,4.829,89.016,119.454188,5972.7094
charge,[24],[[2.0080e+03 4.0000e+00 2.0000e+00 1.3000e+01 8.0000e+00 1.7921e+01]],4.096367869819341,1.511096005472631,25.00289675553982,1.5,4.829,91.922,123.81318799999995,6190.659399999998
charge,[24],[[2.0080e+03 4.0000e+00 2.0000e+00 1.3000e+01 8.0000e+00 1.7921e+01]],4.097552114942335,1.5129652697920029,25.009536696139723,1.498,4.834,94.907,128.28471799999997,6414.235899999999
charge,[24],[[2.0080e+03 4.0000e+00 2.0000e+00 1.3000e+01 8.0000e+00 1.7921e+01]],4.098522592635415,1.5096328110880066,25.02364573195412,1.5,4.834,97.844,132.69021799999996,6634.5108999999975
charge,[24],[[2.0080e+03 4.0000e+00 2.0000e+00 1.3000e+01 8.0000e+00 1.7921e+01]],4.099901528953767,1.5114418129630425,25.036362925248888,1.498,4.834,100.766,137.06737399999997,6853.368699999999
charge,[24],[[2.0080e+03 4.0000e+00 2.0000e+00 1.3000e+01 8.0000e+00 1.7921e+01]],4.101073970436793,1.5111194729845234,25.0450956375724,1.5,4.834,103.75,141.54337399999997,7077.168699999998
charge,[24],[[2.0080e+03 4.0000e+00 2.0000e+00 1.3000e+01 8.0000e+00 1.7921e+01]],4.1018605314947605,1.5143932321982565,25.05675940365212,1.5,4.834,106.703,145.972874,7298.6437
charge,[24],[[2.0080e+03 4.0000e+00 2.0000e+00 1.3000e+01 8.0000e+00 1.7921e+01]],4.103038335414156,1.5123904801109036,25.06390033968544,1.5,4.839,109.641,150.379874,7518.9937
charge,[24],[[2.0080e+03 4.0000e+00 2.0000e+00 1.3000e+01 8.0000e+00 1.7921e+01]],4.104337614337191,1.5100240634127888,25.06892340401139,1.5,4.839,112.641,154.879874,7743.9937
charge,[24],[[2.0080e+03 4.0000e+00 2.0000e+00 1.3000e+01 8.0000e+00 1.7921e+01]],4.105187192932875,1.5107399495207057,25.08221318933177,1.5,4.839,115.594,159.309374,7965.468699999999
charge,[24],[[2.0080e+03 4.0000e+00 2.0000e+00 1.3000e+01 8.0000e+00 1.7921e+01]],4.106177506031592,1.510068653678346,25.09583094242311,1.5,4.839,118.547,163.738874,8186.943700000001
charge,[24],[[2.0080e+03 4.0000e+00 2.0000e+00 1.3000e+01 8.0000e+00 1.7921e+01]],4.107134019306842,1.5098150461789477,25.1034397361502,1.5,4.839,121.532,168.216374,8410.8187
charge,[24],[[2.0080e+03 4.0000e+00 2.0000e+00 1.3000e+01 8.0000e+00 1.7921e+01]],4.108073995164488,1.5119298458092552,25.116498012881365,1.5,4.839,124.5,172.668374,8633.4187
charge,[24],[[2.0080e+03 4.0000e+00 2.0000e+00 1.3000e+01 8.0000e+00 1.7921e+01]],4.10876114522434,1.5107128675657615,25.12494549948148,1.5,4.845,127.532,177.216374,8860.8187
charge,[24],[[2.0080e+03 4.0000e+00 2.0000e+00 1.3000e+01 8.0000e+00 1.7921e+01]],4.109711566374285,1.511248939371902,25.13920437882925,1.5,4.845,130.516,181.692374,9084.6187
charge,[24],[[2.0080e+03 4.0000e+00 2.0000e+00 1.3000e+01 8.0000e+00 1.7921e+01]],4.110737854532936,1.510533051656427,25.142318070467795,1.498,4.845,133.563,186.25678,9312.839
charge,[24],[[2.0080e+03 4.0000e+00 2.0000e+00 1.3000e+01 8.0000e+00 1.7921e+01]],4.111537695611251,1.5100945296514812,25.15439988575424,1.498,4.845,136.563,190.75078,9537.538999999999
charge,[24],[[2.0080e+03 4.0000e+00 2.0000e+00 1.3000e+01 8.0000e+00 1.7921e+01]],4.112169940462847,1.5125220540957904,25.170801374295365,1.5,4.845,139.563,195.25078,9762.538999999999
charge,[24],[[2.0080e+03 4.0000e+00 2.0000e+00 1.3000e+01 8.0000e+00 1.7921e+01]],4.113079968390535,1.5095456988289555,25.178837855516,1.5,4.85,142.563,199.75078,9987.538999999999
charge,[24],[[2.0080e+03 4.0000e+00 2.0000e+00 1.3000e+01 8.0000e+00 1.7921e+01]],4.113632820055875,1.5101064054332711,25.18697978599761,1.5,4.845,145.594,204.29728,10214.864
charge,[24],[[2.0080e+03 4.0000e+00 2.0000e+00 1.3000e+01 8.0000e+00 1.7921e+01]],4.114555001253864,1.5136969938167866,25.196411573066403,1.5,4.85,148.578,208.77328,10438.664
charge,[24],[[2.0080e+03 4.0000e+00 2.0000e+00 1.3000e+01 8.0000e+00 1.7921e+01]],4.1154023875210015,1.5118107149573978,25.209359776169,1.498,4.85,151.61,213.315216,10665.7608
charge,[24],[[2.0080e+03 4.0000e+00 2.0000e+00 1.3000e+01 8.0000e+00 1.7921e+01]],4.1157930037621,1.5090777137954916,25.213526339271063,1.5,4.85,154.672,217.908216,10895.4108
charge,[24],[[2.0080e+03 4.0000e+00 2.0000e+00 1.3000e+01 8.0000e+00 1.7921e+01]],4.11674636324052,1.509168307266307,25.22749813445294,1.5,4.85,157.735,222.502716,11125.1358
charge,[24],[[2.0080e+03 4.0000e+00 2.0000e+00 1.3000e+01 8.0000e+00 1.7921e+01]],4.117244999834526,1.5086648778121972,25.23726711127753,1.5,4.85,160.782,227.073216,11353.6608
charge,[24],[[2.0080e+03 4.0000e+00 2.0000e+00 1.3000e+01 8.0000e+00 1.7921e+01]],4.117942705266962,1.5069700737959824,25.24742255936161,1.5,4.85,163.844,231.666216,11583.3108
charge,[24],[[2.0080e+03 4.0000e+00 2.0000e+00 1.3000e+01 8.0000e+00 1.7921e+01]],4.118642596026564,1.5114169072835402,25.250031889295816,1.5,4.856,166.922,236.283216,11814.1608
charge,[24],[[2.0080e+03 4.0000e+00 2.0000e+00 1.3000e+01 8.0000e+00 1.7921e+01]],4.1194365061974345,1.5110097016410189,25.266604108962515,1.5,4.856,170.032,240.948216,12047.4108
charge,[24],[[2.0080e+03 4.0000e+00 2.0000e+00 1.3000e+01 8.0000e+00 1.7921e+01]],4.1200475519486615,1.5083947859510936,25.269421638369828,1.5,4.856,173.11,245.565216,12278.2608
charge,[24],[[2.0080e+03 4.0000e+00 2.0000e+00 1.3000e+01 8.0000e+00 1.7921e+01]],4.1206205303326335,1.5122514857879468,25.28608478152573,1.5,4.856,176.188,250.182216,12509.1108
charge,[24],[[2.0080e+03 4.0000e+00 2.0000e+00 1.3000e+01 8.0000e+00 1.7921e+01]],4.121202326737421,1.5096024586241132,25.294149863456724,1.5,4.856,179.266,254.799216,12739.9608
charge,[24],[[2.0080e+03 4.0000e+00 2.0000e+00 1.3000e+01 8.0000e+00 1.7921e+01]],4.122143759691642,1.5129592587478589,25.30482100093442,1.5,4.856,182.422,259.53321600000004,12976.660800000001
charge,[24],[[2.0080e+03 4.0000e+00 2.0000e+00 1.3000e+01 8.0000e+00 1.7921e+01]],4.122237224074962,1.5093322418099244,25.31614021559826,1.5,4.856,185.563,264.24471600000004,13212.235800000002
charge,[24],[[2.0080e+03 4.0000e+00 2.0000e+00 1.3000e+01 8.0000e+00 1.7921e+01]],4.1233038091195535,1.5109514387626977,25.33115640663007,1.5,4.861,188.703,268.9547160000001,13447.735800000004
charge,[24],[[2.0080e+03 4.0000e+00 2.0000e+00 1.3000e+01 8.0000e+00 1.7921e+01]],4.123763986127568,1.51227180967629,25.343826217912262,1.498,4.861,191.86,273.6839020000001,13684.195100000004
charge,[24],[[2.0080e+03 4.0000e+00 2.0000e+00 1.3000e+01 8.0000e+00 1.7921e+01]],4.124420844562275,1.5096636453443266,25.345845055548025,1.5,4.861,195.0,278.3939020000001,13919.695100000004
charge,[24],[[2.0080e+03 4.0000e+00 2.0000e+00 1.3000e+01 8.0000e+00 1.7921e+01]],4.125073806904308,1.5088216071612652,25.3549088683883,1.498,4.861,198.188,283.1695260000001,14158.476300000004
charge,[24],[[2.0080e+03 4.0000e+00 2.0000e+00 1.3000e+01 8.0000e+00 1.7921e+01]],4.125678262248004,1.5086622023549796,25.369780644726685,1.5,4.861,201.36,287.9275260000001,14396.376300000005
charge,[24],[[2.0080e+03 4.0000e+00 2.0000e+00 1.3000e+01 8.0000e+00 1.7921e+01]],4.126168051175822,1.5094098439704398,25.3771490777295,1.5,4.861,204.5,292.6375260000001,14631.876300000005
charge,[24],[[2.0080e+03 4.0000e+00 2.0000e+00 1.3000e+01 8.0000e+00 1.7921e+01]],4.126566266636191,1.511612601648067,25.379826659833707,1.5,4.861,207.657,297.3730260000001,14868.651300000005
charge,[24],[[2.0080e+03 4.0000e+00 2.0000e+00 1.3000e+01 8.0000e+00 1.7921e+01]],4.127312378292408,1.5138804557073409,25.38331851950233,1.5,4.861,210.813,302.1070260000001,15105.351300000004
charge,[24],[[2.0080e+03 4.0000e+00 2.0000e+00 1.3000e+01 8.0000e+00 1.7921e+01]],4.128081408857575,1.508166262139147,25.39672049576833,1.5,4.861,213.969,306.84102600000006,15342.051300000003
charge,[24],[[2.0080e+03 4.0000e+00 2.0000e+00 1.3000e+01 8.0000e+00 1.7921e+01]],4.128457441188442,1.5115415576189548,25.40737580332025,1.5,4.861,217.11,311.55252600000006,15577.626300000004
charge,[24],[[2.0080e+03 4.0000e+00 2.0000e+00 1.3000e+01 8.0000e+00 1.7921e+01]],4.12895829189114,1.5110759362103257,25.42111637853236,1.5,4.866,220.297,316.333026,15816.651300000001
charge,[24],[[2.0080e+03 4.0000e+00 2.0000e+00 1.3000e+01 8.0000e+00 1.7921e+01]],4.129462033655345,1.5097004035337775,25.42848061314635,1.5,4.866,223.485,321.11502600000006,16055.751300000004
charge,[24],[[2.0080e+03 4.0000e+00 2.0000e+00 1.3000e+01 8.0000e+00 1.7921e+01]],4.130024176646017,1.511366493887439,25.43495013997739,1.5,4.866,226.672,325.895526,16294.776300000001
charge,[24],[[2.0080e+03 4.0000e+00 2.0000e+00 1.3000e+01 8.0000e+00 1.7921e+01]],4.130530613145494,1.5112985977565971,25.446179217074217,1.5,4.866,229.86,330.67752600000006,16533.876300000004
charge,[24],[[2.0080e+03 4.0000e+00 2.0000e+00 1.3000e+01 8.0000e+00 1.7921e+01]],4.131235405822915,1.5110025517292274,25.461518678082847,1.5,4.866,233.078,335.50452600000006,16775.226300000002
charge,[24],[[2.0080e+03 4.0000e+00 2.0000e+00 1.3000e+01 8.0000e+00 1.7921e+01]],4.131832154927133,1.509708209974291,25.47117495888433,1.5,4.866,236.36,340.42752600000006,17021.376300000004
charge,[24],[[2.0080e+03 4.0000e+00 2.0000e+00 1.3000e+01 8.0000e+00 1.7921e+01]],4.132316086897427,1.5122337110550814,25.480218072642025,1.5,4.866,239.594,345.27852600000006,17263.926300000003
charge,[24],[[2.0080e+03 4.0000e+00 2.0000e+00 1.3000e+01 8.0000e+00 1.7921e+01]],4.13280769764054,1.5090043454115771,25.48441354160169,1.5,4.866,242.813,350.107026,17505.351300000002
charge,[24],[[2.0080e+03 4.0000e+00 2.0000e+00 1.3000e+01 8.0000e+00 1.7921e+01]],4.133497457065992,1.514021030397701,25.50519966500069,1.5,4.872,246.11,355.05252600000006,17752.626300000004
charge,[24],[[2.0080e+03 4.0000e+00 2.0000e+00 1.3000e+01 8.0000e+00 1.7921e+01]],4.134105480567036,1.509487452425642,25.503708248470726,1.498,4.872,249.375,359.94349600000004,17997.1748
charge,[24],[[2.0080e+03 4.0000e+00 2.0000e+00 1.3000e+01 8.0000e+00 1.7921e+01]],4.134466120349398,1.5088318474360438,25.521021220749933,1.5,4.872,252.641,364.842496,18242.124799999998
charge,[24],[[2.0080e+03 4.0000e+00 2.0000e+00 1.3000e+01 8.0000e+00 1.7921e+01]],4.135222072326538,1.5114984256370207,25.526042358048635,1.5,4.872,255.938,369.787996,18489.3998
charge,[24],[[2.0080e+03 4.0000e+00 2.0000e+00 1.3000e+01 8.0000e+00 1.7921e+01]],4.135784648763507,1.5075587786785198,25.534547065622007,1.5,4.872,259.219,374.70949600000006,18735.474800000004
charge,[24],[[2.0080e+03 4.0000e+00 2.0000e+00 1.3000e+01 8.0000e+00 1.7921e+01]],4.136390258693118,1.5086183135293008,25.55241547935448,1.5,4.872,262.547,379.7014960000001,18985.074800000002
charge,[24],[[2.0080e+03 4.0000e+00 2.0000e+00 1.3000e+01 8.0000e+00 1.7921e+01]],4.136829571509149,1.5120963474959743,25.55603767123357,1.498,4.872,265.828,384.6164340000001,19230.821700000004
charge,[24],[[2.0080e+03 4.0000e+00 2.0000e+00 1.3000e+01 8.0000e+00 1.7921e+01]],4.137251837904599,1.5084313091665142,25.580478103333338,1.5,4.872,269.157,389.60993400000007,19480.496700000003
charge,[24],[[2.0080e+03 4.0000e+00 2.0000e+00 1.3000e+01 8.0000e+00 1.7921e+01]],4.137902074290614,1.511121377349979,25.584793706726025,1.5,4.872,272.469,394.5779340000001,19728.896700000005
charge,[24],[[2.0080e+03 4.0000e+00 2.0000e+00 1.3000e+01 8.0000e+00 1.7921e+01]],4.138286287727212,1.5082452674073563,25.590572577885453,1.498,4.872,275.875,399.6801220000001,19984.006100000006
charge,[24],[[2.0080e+03 4.0000e+00 2.0000e+00 1.3000e+01 8.0000e+00 1.7921e+01]],4.138796581448644,1.5085225071094723,25.603539374953755,1.5,4.872,279.219,404.69612200000006,20234.8061
charge,[24],[[2.0080e+03 4.0000e+00 2.0000e+00 1.3000e+01 8.0000e+00 1.7921e+01]],4.139543977998552,1.510140760999926,25.615796991155403,1.5,4.877,282.594,409.75862200000006,20487.9311
charge,[24],[[2.0080e+03 4.0000e+00 2.0000e+00 1.3000e+01 8.0000e+00 1.7921e+01]],4.140074145652982,1.5109482023774838,25.617327387538968,1.498,4.877,285.953,414.790404,20739.520200000003
charge,[24],[[2.0080e+03 4.0000e+00 2.0000e+00 1.3000e+01 8.0000e+00 1.7921e+01]],4.140582723439686,1.51254086945097,25.635361186167955,1.5,4.877,289.344,419.8769040000001,20993.845200000003
charge,[24],[[2.0080e+03 4.0000e+00 2.0000e+00 1.3000e+01 8.0000e+00 1.7921e+01]],4.141181168780409,1.5126708901452603,25.64860339559332,1.5,4.877,292.719,424.9394040000001,21246.970200000003
charge,[24],[[2.0080e+03 4.0000e+00 2.0000e+00 1.3000e+01 8.0000e+00 1.7921e+01]],4.141665995300021,1.5119928264971514,25.660375758436768,1.498,4.877,296.141,430.0655600000001,21503.278000000006
charge,[24],[[2.0080e+03 4.0000e+00 2.0000e+00 1.3000e+01 8.0000e+00 1.7921e+01]],4.142484860829396,1.5099938558412058,25.67095055132892,1.498,4.877,299.547,435.1677480000001,21758.387400000003
charge,[24],[[2.0080e+03 4.0000e+00 2.0000e+00 1.3000e+01 8.0000e+00 1.7921e+01]],4.1426151523868535,1.5122502496380892,25.669828357567862,1.5,4.877,302.969,440.3007480000001,22015.037400000005
charge,[24],[[2.0080e+03 4.0000e+00 2.0000e+00 1.3000e+01 8.0000e+00 1.7921e+01]],4.143323596552114,1.5107857234076003,25.690555567912245,1.5,4.877,306.375,445.40974800000015,22270.48740000001
